,epoch,train_loss,train_nucleus_IoU,train_embryo_IoU,train_mIoU,train_mIoU_backin,val_loss,val_nucleus_IoU,val_embryo_IoU,val_mIoU,val_mIoU_backin
0,1,0.7392218737151679,0.002476932211855136,0.5834576515175232,0.29296729186468917,0.4416052638536697,0.4493847463441932,6.322881691413978e-05,0.8587689247356772,0.4294160767762957,0.5966095750190719
1,2,0.46420811527357325,0.0006777706531957382,0.7511674583043844,0.37592261447879005,0.5533059119568519,0.3557796102503072,0.006359933190266995,0.868003351813705,0.437181642501986,0.603578457763351
2,3,0.40350385796366717,0.0026916559606720587,0.7725691643476352,0.38763041015415367,0.5658202286682413,0.3267489140448363,0.03224565660051239,0.8687379678078908,0.4504918122042016,0.6118201049292313
3,4,0.38164265489015053,0.05519975493477237,0.7666444753494928,0.41092211514213256,0.581384107414461,0.28467142711515014,0.29238545298177765,0.8860768626086852,0.5892311577952314,0.7099351538622861
4,5,0.3574276355307872,0.3051523335108259,0.7824088484283546,0.5437805909695902,0.6707021051164961,0.24618348867996878,0.5386778201114023,0.8901512867579177,0.71441455343466,0.791762470794977
5,6,0.3246930051506974,0.46676882018803506,0.7996173661331102,0.6331930931605726,0.7317668187755575,0.2305053938990054,0.5751921411857386,0.9005221445660571,0.7378571428758978,0.8090027569567728
6,7,0.30237899767601584,0.5002551132178156,0.8092691686946392,0.6547621409562273,0.7475911157184981,0.22944926697274912,0.683477374402754,0.887840137779962,0.785658756091358,0.8387299804325404
7,8,0.2941986775304389,0.48329612954320755,0.8050702739003528,0.6441832017217801,0.7399115675240994,0.20357743294342703,0.6964344679683035,0.9166109299333616,0.8065226989508325,0.857603308101302
8,9,0.2845097472817879,0.49185866900314357,0.805723562771444,0.6487911158872938,0.7429917779843832,0.17941466492155325,0.6988794590471035,0.9241848648335644,0.811532161940334,0.8624969909819113
9,10,0.2672278572489896,0.5161005770620692,0.8157980838883065,0.6659493304751879,0.7559234893382243,0.17634565739527994,0.6941341751633681,0.9301236363459701,0.812128905754669,0.8649168308911479
10,11,0.26533649791413405,0.5088104649835675,0.8095362591386652,0.6591733620611163,0.7503185740786553,0.18050345519314642,0.6888637970698366,0.9087249748939731,0.7987943859819048,0.8515145058271724
11,12,0.262001930963336,0.4823007439465072,0.806582630286981,0.6444416871167441,0.7400793431207032,0.1591499298810959,0.6867705604793722,0.9332359165016347,0.8100032384905035,0.8646705379670947
12,13,0.2479358460959487,0.5149432033277607,0.8153568745606432,0.665150038944202,0.7551418556702324,0.16367995285469553,0.679308547255124,0.9183867916342234,0.7988476694446738,0.854627379230169
13,14,0.2387817367090015,0.521293842889094,0.8201439061441815,0.6707188745166378,0.759531918692892,0.16203902856163357,0.6798815063174458,0.9214325153453852,0.8006570108314155,0.8563077041515548
14,15,0.2294372080817936,0.5266757844855464,0.8244155946785167,0.6755456895820315,0.7636289789750055,0.1566272980493048,0.6820620626682276,0.9170382708254382,0.7995501667468329,0.8545915855930435
15,16,0.22500534144442852,0.5265147718672961,0.8232922624647082,0.6749035171660022,0.7630189061961085,0.12633030472890192,0.7070645973496432,0.9397574595753783,0.8234110284625108,0.8745593546766053
16,17,0.2187117253701518,0.5215105227230513,0.8261315270733294,0.6738210248981904,0.762941588873173,0.13791813604209735,0.7096896542896728,0.9316229025932209,0.8206562784414468,0.8710287555491268
17,18,0.2090708761233983,0.541924525056895,0.8327276546240747,0.6873260898404849,0.7727001473674792,0.1344976340946944,0.7041596803278295,0.933326055364312,0.8187428678460708,0.8699146322739618
18,19,0.21168878709706734,0.5170459128444892,0.8259643392065069,0.6715051260254981,0.7612656835068302,0.12366239078666853,0.7038489378258651,0.9357328965085944,0.8197909171672297,0.8713390132105894
19,20,0.2033204065533135,0.533023163900712,0.8307503099888068,0.6818867369447594,0.7688153804369883,0.12387629760348279,0.6943934641827779,0.9357898911784481,0.8150916776806131,0.8688856743986383
20,21,0.1979394952260603,0.529190312754037,0.8320190915682735,0.6806047021611553,0.7684807897975338,0.1186023464669352,0.7103518485852399,0.9373450374699686,0.8238484430276042,0.874273958839267
